trip_fare,total
9898.98046875,1
9600.580078125,1
9290.51953125,1
9280.8203125,1
9200.4501953125,1
9200.4404296875,1
9101.650390625,1
9002.7001953125,1
9001.8203125,1
9000.9501953125,1
