taxi_trip_details_avg_trip_fare_per_day.trip_end_time,taxi_trip_details_avg_trip_fare_per_day._c1
2018,13.14682267170873
2015,15.490908926183527
2017,14.164218108968782
2014,11.36658528878402
2016,14.605369457132744
2013,16.61706767108689
NULL,0.0
